SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,UTILITIES,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE
MLS Listing,,Townhouse,2197 Rock St,Mountain View,CA,94043,1328000,3.0,1.5,MOUNTAIN VIEW,1325.0,1274.0,1970.0,2.0,1002.0,525.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/2197-Rock-St-94043/home/1339240,MLSListings,ML81943361,N,Y,37.4124543,-122.0945756,,Forced Air,,7,7,9,2.5,1002.0,1428551.0,9915.0,100,/100Biker's paradise,79,Very walkable,31,Some transit,Moderate,Minimal,Moderate,Minimal,"Places5 groceries, 22 restaurants, 7 parksTransit21, 22, 40, ACE Orange, B - AM, B - PM, B - PM Concert, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, D - AM, D - PM, L1, L2, L3, L6, School 288","Sep 27, 2023",Listed (Active)MLSListings #ML81943361,1328000.0,https://www.redfin.com/CA/Mountain-View/2197-Rock-St-94043/home/1339240,"Attached Garage, Common Parking Area, Guest/Visitor Parking, Uncovered Parking",1.0,,Dining Area in Family Room,"Inside, Upper Floor, Washer/Dryer",Public Utilities,2.0,"Common Area Electricity, Common Area Gas, Insurance (Liability), Landscaping/Gardening, Maintenance (Common Area), Pools, Spa, or Tennis, Reserves, Roof",Monthly,Midrock Homeowners Association,"Aug 3, 2017",Pending (Pending (Do Not Show))MLSListings #ML81670496,NA,"Jul 19, 2017",Listed (Active)MLSListings #ML81670496,988000.0,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,906 Arietta Dr,Mountain View,CA,94043,999888,3.0,2.5,MOUNTAIN VIEW,1480.0,846.0,2014.0,2.0,676.0,273.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/906-Arietta-Dr-94043/home/95955084,MLSListings,ML81943349,N,Y,37.4177287,-122.0922667,,Central Forced Air,Central Forced Air,7,7,9,2.5,676.0,,7343.0,99,Biker's paradise,78,Very walkable,31,Some transit,Minor,Minimal,Moderate,Minimal,"Places3 groceries, 23 restaurants, 6 parksTransit21, 40, ACE Orange, B - AM, B - PM, B - PM Concert, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, D - AM, D - PM, L1, L2, L3, L6, School 288, School 288L","Sep 27, 2023",Listed (Active)MLSListings #ML81943349,999888.0,https://www.redfin.com/CA/Mountain-View/906-Arietta-Dr-94043/home/95955084,Attached Garage,2.0,Shower and Tub,Dining Area,Washer/Dryer,Public Utilities,3.0,"Insurance, Insurance (Common Area), Maintenance (Common Area), Reserves",,Sierra Vista Park Maintenance Associatio,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1633 Miramonte Ave,Mountain View,CA,94040,2348000,3.0,2.0,MOUNTAIN VIEW,1178.0,6237.0,1955.0,2.0,1993.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1633-Miramonte-Ave-94040/home/1562304,MLSListings,ML81943344,N,Y,37.3761704,-122.0866516,"Hardwood, Tile",Central Forced Air (Gas),Central Forced Air,8,7,8,2.5,1993.0,2357751.0,16602.0,91,Biker's paradise,69,Somewhat walkable,36,Some transit,Major,Minimal,Moderate,Minimal,"Places6 groceries, 18 restaurants, 5 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 27, 2023",Listed (Active)MLSListings #ML81943344,2348000.0,https://www.redfin.com/CA/Mountain-View/1633-Miramonte-Ave-94040/home/1562304,Attached Garage,2.0,"Shower Over Tub, Stall Shower, Tub in Master Bedroom, Updated Bath(s)",Dining Area in Living Room,"In Garage, Washer/Dryer",Public Utilities,1.0,,,,"Jun 6, 2019",Pending (Pending (Do Not Show))MLSListings #ML81753730,NA,"May 27, 2019",Listed (Active)MLSListings #ML81753730,1498000.0,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,400 Chiquita Ave,Mountain View,CA,94041,2418000,4.0,3.0,MOUNTAIN VIEW,1957.0,5292.0,1941.0,2.0,1236.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/400-Chiquita-Ave-94041/home/1160099,MLSListings,ML81943324,N,Y,37.3953021,-122.0912228,Hardwood,Central Forced Air,Central Forced Air,3,7,9,2.5,1236.0,2433406.0,17097.0,95,Biker's paradise,80,Very walkable,47,Some transit,Major,Minimal,Moderate,Minimal,"Places3 groceries, 26 restaurants, 3 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 27, 2023",Listed (Active)MLSListings #ML81943324,2418000.0,https://www.redfin.com/CA/Mountain-View/400-Chiquita-Ave-94041/home/1160099,Attached Garage,1.0,"Double Sinks, Full on Ground Floor, Primary (Stall Shower(s)), Updated Bath(s)","Breakfast Bar, Dining Area",In Utility Room,Public Utilities,1.0,,,,"Jan 24, 2020",Pending (Pending (Do Not Show))MLSListings #ML81778136,NA,"Jan 16, 2020",Price ChangedMLSListings #ML81778136,1300000.0,"Jan 3, 2020",Listed (Active)MLSListings #ML81778136,1595000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,461 Whisman Park Dr,Mountain View,CA,94043,1998000,3.0,3.0,MOUNTAIN VIEW,1833.0,2766.0,1999.0,2.0,1090.0,212.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/461-Whisman-Park-Dr-94043/home/1707939,MLSListings,ML81943111,N,Y,37.3885064,-122.0577573,"Carpet, Tile, Wood",Central Forced Air,"Ceiling Fan, Central Forced Air",6,7,8,2.5,1090.0,2060735.0,14339.0,82,Very bikeable,29,Car-dependent,43,Some transit,Major,Minimal,Moderate,Minimal,"Places5 groceries, 22 restaurants, 11 parksTransit200, 21, 22, 40, 51, 51H, 52, 53, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 27, 2023",Listed (Active)MLSListings #ML81943111,1998000.0,https://www.redfin.com/CA/Mountain-View/461-Whisman-Park-Dr-94043/home/1707939,"Attached Garage, Guest/Visitor Parking",2.0,"Double Sinks, Full on Ground Floor, Primary (Tub w/ Jets), Shower Over Tub, Solid Surface, Tile, Updated Bath(s)","Breakfast Bar, Dining Area","Upper Floor, Washer/Dryer",Public Utilities,2.0,"Common Area Electricity, Insurance (Common Area), Maintenance (Common Area), Management Fee, Pools, Spa, or Tennis, Reserves",Monthly,Whisman Station & Town Square,"Sep 9, 2010",Pending (Pending (Do Not Show))MLSListings #ML81040996,NA,"Aug 27, 2010",Pending (Pending Without Release)MLSListings #ML81040996,NA,"Aug 18, 2010",Listed (Active)MLSListings #ML81040996,818000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1810 Walnut Dr,Mountain View,CA,94040,2988000,4.0,3.0,MOUNTAIN VIEW,1894.0,6510.0,1956.0,2.0,1578.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1810-Walnut-Dr-94040/home/1670404,MLSListings,ML81943246,N,Y,37.3705932,-122.0926875,"Carpet, Hardwood, Laminate",Central Forced Air (Gas),,9,10,8,2.5,1578.0,,21127.0,84,Very bikeable,65,Somewhat walkable,24,Minimal transit,Minimal,Minimal,Moderate,Minimal,"Places6 groceries, 11 restaurants, 8 parksTransit21, 22, 40, 51, 51H, 52, Rapid 522","Sep 27, 2023",Listed (Active)MLSListings #ML81943246,2988000.0,https://www.redfin.com/CA/Mountain-View/1810-Walnut-Dr-94040/home/1670404,"Attached Garage, Gate/Door Opener, On Street, Parking Restrictions",2.0,"Dual Flush Toilet, Full on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Stall Shower, Tile",Dining Area,"Dryer, In Garage, Tub/Sink, Washer","Individual Electric Meters, Individual Gas Meters, Public Utilities",1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1088 Washington St,Mountain View,CA,94043,2199000,3.0,2.0,MOUNTAIN VIEW,1140.0,6016.0,1946.0,4.0,1929.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1088-Washington-St-94043/home/1761249,MLSListings,ML81943103,N,Y,37.3986329,-122.0827015,"Hardwood, Vinyl/Linoleum",Central Forced Air,Central Forced Air,6,7,9,2.5,1929.0,2202526.0,15548.0,96,Biker's paradise,80,Very walkable,53,Good transit,Severe,Minimal,Moderate,Minimal,"Places2 groceries, 48 restaurants, 2 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, ACE Orange, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 25, 2023",Listed (Active)MLSListings #ML81943104,2199000.0,https://www.redfin.com/CA/Mountain-View/1088-Washington-St-94043/home/1761249,Attached Garage,1.0,,Formal Dining Room,,Public Utilities,1.0,,,,"Sep 25, 2023",Listed (Active)MLSListings #ML81943103,2199000.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Vacant Land,208 Mountain View Ave,Mountain View,CA,94041,1848000,,,MOUNTAIN VIEW,,7000.0,,7.0,,,Active,,,https://www.redfin.com/CA/Mountain-View/208-Mountain-View-Ave-94041/home/187644614,MLSListings,ML81942894,N,Y,37.3959422,-122.0849136,,,,8,7,9,3.0,,1993662.0,13067.0,99,Biker's paradise,85,Very walkable,52,Good transit,Major,Minimal,Moderate,Minimal,"Places4 groceries, 46 restaurants, 3 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 22, 2023",Listed (Active)MLSListings #ML81942894,1848000.0,https://www.redfin.com/CA/Mountain-View/208-Mountain-View-Ave-94041/home/187644614,,,,,,Public Utilities,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1101 W El Camino Real #209,Mountain View,CA,94040,939000,1.0,1.5,DOWNTOWN,845.0,809.0,2017.0,7.0,1111.0,716.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/1101-W-El-Camino-Real-94040/unit-209/home/143041992,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039934,N,Y,37.3869643,-122.0873173,"Hardwood, Carpet",Natural Gas,Central Air,8,7,8,2.5,1111.0,937201.0,7355.0,93,Biker's paradise,93,Walker's paradise,50,Good transit,NA,NA,NA,NA,"Places5 groceries, 29 restaurants, 2 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 22, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039934",939000.0,https://www.redfin.com/CA/Mountain-View/1101-W-El-Camino-Real-94040/unit-209/home/143041992,,1.0,,,,"All Public Utilities, Individual Electric Meter, Individual Gas Meter",,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1548 Spring St,Mountain View,CA,94043,1699000,3.0,2.0,MOUNTAIN VIEW,1672.0,7130.0,1956.0,8.0,1016.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Mountain-View/1548-Spring-St-94043/home/1822188,MLSListings,ML81939597,N,Y,37.412436,-122.0807707,,Forced Air,Central Forced Air,7,7,9,2.5,1016.0,1729064.0,12013.0,87,Very bikeable,42,Car-dependent,29,Some transit,Severe,Minimal,Moderate,Minimal,"Places2 groceries, 18 restaurants, 6 parksTransit200, 21, 40, 51, 51H, 52, A - AM, A - PM, ACE Orange, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Special Event","Sep 21, 2023",Listed (Active)MLSListings #ML81939597,1699000.0,https://www.redfin.com/CA/Mountain-View/1548-Spring-St-94043/home/1822188,Attached Garage,2.0,,Dining Area,,Public Utilities,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,400 Ortega Ave #319,Mountain View,CA,94040,864400,2.0,1.0,MOUNTAIN VIEW,960.0,,1975.0,8.0,900.0,596.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-319/home/2121076,MLSListings,ML81942813,N,Y,37.399433,-122.105693,"Carpet, Laminate",Electric,"Ceiling Fan, Window/Wall Unit",8,8,9,2.5,900.0,863451.0,6669.0,88,Very bikeable,84,Very walkable,48,Some transit,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 27 restaurants, 3 parksTransit21, 22, 40, 52, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522, School 288","Sep 21, 2023",Listed (Active)MLSListings #ML81942813,864400.0,https://www.redfin.com/CA/Mountain-View/400-Ortega-Ave-94040/unit-319/home/2121076,"Assigned Spaces, Electric Gate, Guest/Visitor Parking, Underground Parking",1.0,"Shower Over Tub, Tile, Updated Bath(s)","Dining ""L""","Inside, Washer/Dryer",Public Utilities,1.0,"Exterior Painting, Garbage, Hot Water, Insurance (Common Area), Maintenance (Exterior), Recreation Facility, Water",Monthly,Hastings Square West,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1031 Crestview Dr #114,Mountain View,CA,94040,849888,2.0,2.0,MOUNTAIN VIEW,1140.0,,1969.0,8.0,746.0,611.0,Active,,,https://www.redfin.com/CA/Mountain-View/1031-Crestview-Dr-94040/unit-114/home/1799045,MLSListings,ML81940019,N,Y,37.3737637,-122.0596296,Laminate,Baseboard,"Ceiling Fan, Window/Wall Unit",9,7,8,2.5,746.0,842447.0,6620.0,90,Biker's paradise,82,Very walkable,43,Some transit,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 25 restaurants, 3 parksTransit21, 22, 51, 51H, 53, 55, A - AM, A - PM, Blue Line Special, Blue-Event, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, School 255, Special Event","Sep 24, 2023",Price ChangedMLSListings #ML81940019,849888.0,https://www.redfin.com/CA/Mountain-View/1031-Crestview-Dr-94040/unit-114/home/1799045,"Assigned Spaces, Common Parking Area, Electric Gate, Gate/Door Opener, Leased Parking, Off-Street Parking, Underground Parking",1.0,"Marble, Shower Over Tub, Stall Shower",Dining Area,"Inside, Washer/Dryer",Public Utilities,1.0,"Exterior Painting, Fencing, Garbage, Hot Water, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis, Recreation Facility, Roof, Water/Sewer",Monthly,Crestview/Mountain View HOA,"Sep 21, 2023",Listed (Active)MLSListings #ML81940019,875999.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,237 Horizon Ave,Mountain View,CA,94043,1235000,2.0,1.5,MOUNTAIN VIEW,1274.0,927.0,1973.0,8.0,969.0,565.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/237-Horizon-Ave-94043/home/621934,MLSListings,ML81942732,N,Y,37.396068,-122.074191,"Laminate, Tile, Wood","Central Forced Air, Stove (Wood)",,6,7,8,2.5,969.0,1248652.0,9297.0,98,Biker's paradise,91,Walker's paradise,54,Good transit,Minor,Minor,Moderate,Minimal,"Places3 groceries, 46 restaurants, 4 parksTransit200, 21, 22, 40, 51, 51H, 52, A - AM, A - PM, ACE Orange, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 21, 2023",Listed (Active)MLSListings #ML81942732,1235000.0,https://www.redfin.com/CA/Mountain-View/237-Horizon-Ave-94043/home/621934,"Assigned Spaces, Carport, Guest/Visitor Parking",,"Double Sinks, Shower Over Tub","Breakfast Bar, Dining Area","Inside, Washer/Dryer",Public Utilities,2.0,"Exterior Painting, Fencing, Garbage, Insurance (Common Area), Maintenance (Common Area), Pools, Spa, or Tennis, Reserves, Roof",Monthly,Cypress Point HOA,"Aug 24, 2021",Pending (Pending (Do Not Show))MLSListings #ML81855632,NA,"Aug 5, 2021",ContingentMLSListings #ML81855632,NA,"Jul 27, 2021",Listed (Active)MLSListings #ML81855632,1095000.0,,,,,,,,,,,,
MLS Listing,,Single Family Residential,174 Fair Oaks St,Mountain View,CA,94040,1395000,2.0,1.0,MOUNTAIN VIEW,979.0,6290.0,1930.0,8.0,1425.0,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/174-Fair-Oaks-St-94040/home/2120621,MLSListings,ML81942701,N,Y,37.4020831,-122.0994331,"Hardwood, Vinyl/Linoleum",Central Forced Air,,7,7,9,2.5,1425.0,1543440.0,9864.0,99,Biker's paradise,71,Very walkable,46,Some transit,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 25 restaurants, 6 parksTransit21, 22, 40, 51, 51H, 52, ACE Orange, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522","Sep 21, 2023",Listed (Active)MLSListings #ML81942701,1395000.0,https://www.redfin.com/CA/Mountain-View/174-Fair-Oaks-St-94040/home/2120621,Detached,2.0,Shower and Tub,Eat in Kitchen,,"Individual Electric Meters, Individual Gas Meters",1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,64 Paul Ave,Mountain View,CA,94041,1998000,3.0,2.0,MOUNTAIN VIEW,1482.0,7793.0,1953.0,9.0,1348.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/64-Paul-Ave-94041/home/1326606,MLSListings,ML81942621,N,Y,37.385131,-122.0711609,"Hardwood, Other (See Remarks)",Forced Air,,6,7,8,2.5,1348.0,2027721.0,14127.0,99,Biker's paradise,62,Somewhat walkable,48,Some transit,Minimal,Minor,Moderate,Minimal,"Places8 groceries, 19 restaurants, 8 parksTransit200, 21, 22, 40, 51, 51H, 52, 53, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 20, 2023",Listed (Active)MLSListings #ML81942621,1998000.0,https://www.redfin.com/CA/Mountain-View/64-Paul-Ave-94041/home/1326606,"Detached, Gate/Door Opener",2.0,"Shower and Tub, Stall Shower",Dining Area,"In Utility Room, Tub/Sink",Public Utilities,1.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,2043 Atlas Loop,Mountain View,CA,94043,1660000,3.0,3.5,MOUNTAIN VIEW,1553.0,2530.0,2016.0,9.0,1069.0,449.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Mountain-View/2043-Atlas-Loop-94043/home/143042801,MLSListings,ML81942557,N,Y,37.415382,-122.0919784,Hardwood,Forced Air,Central Forced Air,7,7,9,2.5,1069.0,1695440.0,12186.0,100,/100Biker's paradise,78,Very walkable,31,Some transit,Major,Minimal,Moderate,Minimal,"Places4 groceries, 22 restaurants, 7 parksTransit21, 40, ACE Orange, B - AM, B - PM, B - PM Concert, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, D - AM, D - PM, L1, L2, L3, L6, School 288","Sep 20, 2023",Listed (Active)MLSListings #ML81942557,1660000.0,https://www.redfin.com/CA/Mountain-View/2043-Atlas-Loop-94043/home/143042801,Attached Garage,2.0,,Dining Area,,"Public Utilities, Solar Panels - Owned",3.0,"Common Area Electricity, Common Area Gas, Insurance (Common Area), Insurance (Flood), Insurance (Structure), Maintenance (Common Area), Maintenance (Exterior)",Monthly,Newton Square HOA,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,83 Centre St,Mountain View,CA,94041,1499888,2.0,1.0,MOUNTAIN VIEW,764.0,7643.0,1955.0,9.0,1963.0,,Active,,,https://www.redfin.com/CA/Mountain-View/83-Centre-St-94041/home/563743,MLSListings,ML81942539,N,Y,37.3818771,-122.073114,,Wall Furnace,,6,7,8,2.5,1963.0,1510013.0,10605.0,99,Biker's paradise,70,Very walkable,43,Some transit,Moderate,Minimal,Moderate,Minimal,"Places6 groceries, 20 restaurants, 6 parksTransit200, 21, 22, 40, 51, 51H, 52, 53, A - AM, A - PM, B - AM, B - PM, B - PM Concert, B7, Blue Line Special, Blue-Event, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Event Blue, Event Green, Event Orange, Event Special, Event-Green, Event-Orange, Event-Special, Green Line Special, Green-Event, L1, L2, L3, L4, L5, L6, Levi's - Alum Rock, Levi's - Mtn View, Levi's - Winchester, Light Rail Special, Orange Line, Orange Line Modified, Orange Line Special, Orange-Event, Orange-West Portion, OrangeW, Rapid 522, Special Event","Sep 20, 2023",Listed (Active)MLSListings #ML81942539,1499888.0,https://www.redfin.com/CA/Mountain-View/83-Centre-St-94041/home/563743,Attached Garage,1.0,,No Formal Dining Room,,Individual Gas Meters,1.0,,,,,,,,,,,,,,,,,,,,,,,,
