SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,PARK_DESCRIPTION,HAS_GARAGE,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,FLOORING_FEATURES,COOLING_FEATURES,HEATING_FEATURES,UTILITIES,NUM_STORIES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,url,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE,PRICE_HISTORY11_EVENT_DATE,PRICE_HISTORY11_EVENT_TYPE,PRICE_HISTORY11_PRICE,PRICE_HISTORY12_EVENT_DATE,PRICE_HISTORY12_EVENT_TYPE,PRICE_HISTORY12_PRICE
MLS Listing,,Condo/Co-op,325 Channing Ave #308,Palo Alto,CA,94301,2350000,2.0,2.0,PALO ALTO,1378.0,,2004.0,4,1705.0,1030.0,Active,,,https://www.redfin.com/CA/Palo-Alto/325-Channing-Ave-94301/unit-308/home/618337,MLSListings,ML81943221,N,Y,37.4433657,-122.1568205,Attached Garage,2.0,,Dining Area in Living Room,Washer/Dryer,"Carpet, Hardwood","Ceiling Fan, Central Forced Air",Forced Air,Public Utilities,2.0,8,7,9,2.5,1705.0,2344654.0,17646.0,100,/100Biker's paradise,96,Walker's paradise,54,Good transit,Moderate,Minimal,Moderate,Minimal,"Places2 groceries, 31 restaurants, 2 parksTransit21, 22, 280, 281, 296, 397, 81, 82, 83, 84, 88, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park), Rapid 522, U","Sep 26, 2023",Listed (Active)MLSListings #ML81943221,2350000.0,"Mar 20, 2011",Pending (Pending (Do Not Show))MLSListings #ML81111708,NA,"Mar 17, 2011",Listed (Active)MLSListings #ML81111708,1380000.0,https://www.redfin.com/CA/Palo-Alto/325-Channing-Ave-94301/unit-308/home/618337,"Common Area Electricity, Common Area Gas, Decks, Exterior Painting, Garbage, Hot Water, Insurance (Common Area), Insurance (Earthquake), Landscaping/Gardening, Maintenance (Common Area), Management Fee, Reserves, Roof, Sewer, Water, Water/Sewer",Monthly,Woodmark at University Park HOA,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2468 Chabot Ter,Palo Alto,CA,94303,3948000,4.0,3.5,PALO ALTO,2394.0,6300.0,2011.0,4,1649.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/2468-Chabot-Ter-94303/home/1391128,MLSListings,ML81943149,N,Y,37.4446113,-122.1225071,Attached Garage,1.0,,"Breakfast Nook, Dining Area in Living Room, Eat in Kitchen","Inside, Tub/Sink, Washer/Dryer","Hardwood, Tile","Central Forced Air, Multi-Zone","Central Forced Air (Gas), Heating (2+ Zones)",Natural Gas,2.0,8,8,9,2.5,1649.0,4005151.0,27915.0,86,Very bikeable,42,Car-dependent,19,Minimal transit,Extreme,Moderate,Moderate,Minimal,"Places3 groceries, 13 restaurants, 8 parksTransit21, 280, 281, 296, 397, 81, 89, ACE Orange, Bus Bridge, L1, L2, L3, L6, School 288, School 288L, School 288M, U","Sep 26, 2023",Listed (Active)MLSListings #ML81943149,3948000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/2468-Chabot-Ter-94303/home/1391128,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,1337 Alma St,Palo Alto,CA,94301,1698000,2.0,2.5,PALO ALTO,1295.0,600.0,1983.0,5,1311.0,585.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/1337-Alma-St-94301/home/1600683,MLSListings,ML81943048,N,Y,37.4372178,-122.1529496,"Assigned Spaces, Electric Gate, Gate/Door Opener, Underground Parking",2.0,,"Breakfast Bar, Dining Area","Inside, Washer/Dryer",,,"Forced Air, Gas",Public Utilities,2.0,7,7,9,2.5,1311.0,1752083.0,12591.0,100,/100Biker's paradise,79,Very walkable,45,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 24 restaurants, 5 parksTransit21, 22, 280, 281, 296, 397, 83, 89, B7, Bus Bridge, ECR, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), Rapid 522, U","Sep 25, 2023",Listed (Active)MLSListings #ML81943048,1698000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/1337-Alma-St-94301/home/1600683,"Common Area Electricity, Common Area Gas, Exterior Painting, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Maintenance (Exterior), Roof",Monthly,Arthur Oaks HOA,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,624 Harvard Ave,Menlo Park,CA,94025,2449900,3.0,2.0,,1450.0,1676.0,1925.0,5,1690.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Menlo-Park/624-Harvard-Ave-94025/home/1738961,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040114,N,Y,37.4473984,-122.1739725,,1.0,,,,"Hardwood, Laminate, Tile, Carpet",Central Air,Gravity,All Public Utilities,,9,8,6,2.5,1690.0,2455467.0,17322.0,97,Biker's paradise,85,Very walkable,54,Good transit,NA,NA,NA,NA,"Places2 groceries, 28 restaurants, 4 parksTransit21, 22, 280, 281, 286, 296, 397, 80, 81, 82, 83, 84, 88, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M3 Shuttle, M3 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park), Rapid 522, U","Sep 25, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040114",2449900.0,"Jul 16, 2018",Pending (Pending (Do Not Show))MLSListings #ML81711768,NA,"Jun 25, 2018",Listed (Active)MLSListings #ML81711768,2295000.0,https://www.redfin.com/CA/Menlo-Park/624-Harvard-Ave-94025/home/1738961,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1982 W Bayshore Rd #127,East Palo Alto,CA,94303,849000,2.0,2.0,EAST PALO ALTO,1197.0,,2002.0,8,709.0,508.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/East-Palo-Alto/1982-W-Bayshore-Rd-94303/unit-127/home/12419107,MLSListings,ML81941813,N,Y,37.4525047,-122.1288516,Assigned Spaces,1.0,"Full on Ground Floor, 2+ Showers Over Tubs, Tile, 2+ Tubs","Dining Area in Living Room, No Formal Dining Room","In Utility Room, Washer/Dryer","Laminate, Tile",Central Forced Air,"Central Forced Air, Forced Air",Individual Electric Meters,1.0,NA,NA,6,2.5,709.0,850563.0,6586.0,71,Very bikeable,53,Somewhat walkable,,,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 19 restaurants, 7 parksTransit21, 280, 281, 296, 397, 81, 83, School 288, School 288L, School 288M, U","Sep 22, 2023",Listed (Active)MLSListings #ML81941813,849000.0,,,,,,,https://www.redfin.com/CA/East-Palo-Alto/1982-W-Bayshore-Rd-94303/unit-127/home/12419107,"Common Area Electricity, Exterior Painting, Fencing, Insurance (Common Area), Pools, Spa, or Tennis, Recreation Facility",Monthly,Woodland Creek HOA,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,748 Kendall Ave,Palo Alto,CA,94306,1998888,3.0,1.0,PALO ALTO,1134.0,6800.0,1950.0,9,1763.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/748-Kendall-Ave-94306/home/605619,MLSListings,ML81942798,N,Y,37.4148146,-122.1359942,"Attached Garage, Guest/Visitor Parking, Off-Street Parking, On Street",1.0,,"Dining ""L""",In Garage,,,Radiant Floors,Public Utilities,1.0,7,8,9,2.5,1763.0,2251757.0,14133.0,98,Biker's paradise,75,Very walkable,37,Some transit,Minimal,Minor,Moderate,Minimal,"Places6 groceries, 27 restaurants, 5 parksTransit22, 89, Bus Bridge, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 22, 2023",Price ChangedMLSListings #ML81942798,1998888.0,"Sep 21, 2023",Listed (Active)MLSListings #ML81942798,1988888.0,,,,https://www.redfin.com/CA/Palo-Alto/748-Kendall-Ave-94306/home/605619,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,3281 Berryessa St #3,Palo Alto,CA,94303,1618000,3.0,2.0,PALO ALTO,1456.0,1307.0,2011.0,9,1111.0,466.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/3281-Berryessa-St-94303/unit-3/home/41395650,MLSListings,ML81942740,N,Y,37.4375206,-122.111836,"Attached Garage, Gate/Door Opener, Guest/Visitor Parking",2.0,"Double Sinks, 2+ Showers Over Tubs, 2+ Stall Shower, Tub in Master Bedroom",Dining Area,"Inside, Washer/Dryer","Carpet, Laminate, Tile, Other (See Remarks)",Central Forced Air,Central Forced Air (Gas),Public Utilities,3.0,8,8,9,2.5,1111.0,1642991.0,11906.0,81,Very bikeable,28,Car-dependent,16,Minimal transit,Extreme,Moderate,Moderate,Minimal,"Places2 groceries, 8 restaurants, 14 parksTransit21, 280, 40, 81, ACE Orange, C - AM, C - PM, D - AM, D - PM, School 288, School 288L, School 288M, U","Sep 21, 2023",Listed (Active)MLSListings #ML81942740,1618000.0,"Mar 14, 2013",Pending (Pending (Do Not Show))MLSListings #ML81307012,NA,"Mar 7, 2013",Listed (Active)MLSListings #ML81307012,828000.0,https://www.redfin.com/CA/Palo-Alto/3281-Berryessa-St-94303/unit-3/home/41395650,"Common Area Electricity, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Water",Monthly,Sterling Park HOA,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,137 Peter Coutts Cir,Stanford,CA,94305,848000,2.0,2.0,STANFORD,1305.0,,1982.0,9,650.0,1485.0,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Stanford/137-Peter-Coutts-Cir-94305/home/607278,MLSListings,ML81942739,N,Y,37.4143023,-122.1532408,Detached,1.0,,Dining Area,"Dryer, Inside, Washer",Laminate,,Central Forced Air (Gas),Public Utilities,1.0,8,8,9,2.5,650.0,851010.0,7481.0,74,Very bikeable,29,Car-dependent,,,Minimal,Major,Moderate,Minimal,"Places5 groceries, 26 restaurants, 7 parksTransit22, 89, Bus Bridge, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M, U","Sep 21, 2023",Listed (Active)MLSListings #ML81942739,848000.0,"Nov 1, 2010",Pending (Pending (Do Not Show))MLSListings #ML81046860,NA,"Oct 11, 2010",Pending (Pending Without Release)MLSListings #ML81046860,NA,https://www.redfin.com/CA/Stanford/137-Peter-Coutts-Cir-94305/home/607278,"Exterior Painting, Insurance, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area), Pools, Spa, or Tennis, Roof, Sewer, Water",,Community  Management,"Sep 23, 2010",Listed (Active)MLSListings #ML81046860,578000.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,532 Hilbar Ln,Palo Alto,CA,94303,2950000,3.0,2.0,PALO ALTO,1357.0,6294.0,1950.0,9,2174.0,,Active,,,https://www.redfin.com/CA/Palo-Alto/532-Hilbar-Ln-94303/home/1485805,MLSListings,ML81942724,N,Y,37.4511872,-122.1302934,Attached Garage,2.0,,Dining Area,,,,Forced Air,Public Utilities,1.0,8,7,9,2.5,2174.0,3194959.0,20858.0,76,Very bikeable,42,Car-dependent,30,Some transit,Severe,Moderate,Moderate,Minimal,"Places5 groceries, 19 restaurants, 8 parksTransit21, 280, 281, 296, 397, 81, 83, Bus Bridge, School 288, School 288L, School 288M, U","Sep 30, 2023",Pending (Pending (Do Not Show))MLSListings #ML81942724,NA,"Sep 21, 2023",Listed (Active)MLSListings #ML81942724,2950000.0,,,,https://www.redfin.com/CA/Palo-Alto/532-Hilbar-Ln-94303/home/1485805,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,777 San Antonio Rd #91,Palo Alto,CA,94303,1268000,3.0,2.0,PALO ALTO,1212.0,,1974.0,9,1046.0,640.0,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/777-San-Antonio-Rd-94303/unit-91/home/1186040,MLSListings,ML81942376,N,Y,37.4195063,-122.1034928,"Detached, Guest/Visitor Parking",1.0,"Granite, Primary (Stall Shower(s)), Shower and Tub","Breakfast Bar, Breakfast Nook, Dining Area","Inside, Washer/Dryer","Tile, Other (See Remarks)",,Central Forced Air (Gas),Public Utilities,1.0,8,8,9,2.5,1046.0,1268319.0,9718.0,98,Biker's paradise,82,Very walkable,31,Some transit,Severe,Minor,Moderate,Minimal,"Places5 groceries, 18 restaurants, 3 parksTransit21, 40, ACE Orange, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, School 288, School 288L, School 288M","Sep 21, 2023",Listed (Active)MLSListings #ML81942376,1268000.0,"Jan 12, 2001",Listing RemovedMLSListings #ML80050033,NA,"Dec 7, 2000",ListedMLSListings #ML80050033,525000.0,https://www.redfin.com/CA/Palo-Alto/777-San-Antonio-Rd-94303/unit-91/home/1186040,"Common Area Electricity, Common Area Gas, Exterior Painting, Garbage, Insurance (Common Area), Maintenance (Common Area), Maintenance (Exterior), Management Fee, Pools, Spa, or Tennis, Roof, Water/Sewer",Monthly,Palo Alto Greenhouse Owners Association,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,1211 Fulton St,Palo Alto,CA,94301,3500000,4.0,4.5,PALO ALTO,3080.0,5626.0,2023.0,10,1136.0,,Active,,,https://www.redfin.com/CA/Palo-Alto/1211-Fulton-St-94301/home/1244784,MLSListings,ML81942534,N,Y,37.4458006,-122.1471286,Carport,,,Dining Area in Living Room,,,Central Forced Air,Forced Air,Public Utilities,,7,7,9,2.5,1136.0,3492904.0,24747.0,79,Very bikeable,49,Car-dependent,36,Some transit,Moderate,Minimal,Moderate,Minimal,"Places3 groceries, 14 restaurants, 8 parksTransit21, 22, 280, 281, 296, 397, 81, 82, 83, 89, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park), Rapid 522","Sep 20, 2023",Listed (Active)MLSListings #ML81942534,3500000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/1211-Fulton-St-94301/home/1244784,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,136 Lois Ln,Palo Alto,CA,94303,4850000,3.0,3.0,PALO ALTO,2069.0,9898.0,1951.0,15,2344.0,,Active,,,https://www.redfin.com/CA/Palo-Alto/136-Lois-Ln-94303/home/547791,MLSListings,ML81942056,N,Y,37.4459384,-122.1350626,Attached Garage,2.0,,Dining Area,In Garage,Hardwood,,Central Forced Air (Gas),Public Utilities,1.0,8,7,9,2.5,2344.0,4822760.0,34293.0,85,Very bikeable,34,Car-dependent,24,Minimal transit,Minimal,Moderate,Moderate,Minimal,"Places2 groceries, 19 restaurants, 7 parksTransit21, 22, 280, 281, 296, 397, 81, 83, 89, Bus Bridge, L1, L2, L3, L6, School 288, School 288L, School 288M, U","Sep 15, 2023",Listed (Active)MLSListings #ML81942056,4850000.0,"Apr 20, 2023",PendingTheMLS #23-257667,NA,"Apr 11, 2023",Listed (Active)TheMLS #23-257667,3499000.0,https://www.redfin.com/CA/Palo-Alto/136-Lois-Ln-94303/home/547791,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,281 Creekside Dr,Palo Alto,CA,94306,4450000,4.0,3.0,PALO ALTO,2290.0,7426.0,1954.0,16,1943.0,,Active,October-1-2023 01:30 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/281-Creekside-Dr-94306/home/1466154,MLSListings,ML81941882,N,Y,37.415116,-122.1137218,"Attached Garage, Electric Car Hookup, Gate/Door Opener",2.0,"Double Sinks, Dual Flush Toilet, Marble, Outside Access, Primary (Stall Shower(s)), Shower Over Tub, Skylight, Solid Surface, 2+ Stall Shower","Breakfast Bar, Eat in Kitchen, Formal Dining Room","Electricity Hookup (220V), In Garage, Washer/Dryer",Tile,Central Forced Air,"Gas, Heat Pump, Radiant Floors","Public Utilities, Solar Panels - Owned",1.0,8,8,9,2.5,1943.0,4355639.0,31464.0,95,Biker's paradise,61,Somewhat walkable,37,Some transit,Major,Minimal,Moderate,Minimal,"Places4 groceries, 14 restaurants, 13 parksTransit21, 22, 40, ACE Orange, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 14, 2023",Listed (Active)MLSListings #ML81941882,4450000.0,"Sep 28, 2006",Listing RemovedMLSListings #ML80653598,NA,"Aug 23, 2006",ListedMLSListings #ML80653598,1049000.0,https://www.redfin.com/CA/Palo-Alto/281-Creekside-Dr-94306/home/1466154,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3452 Thomas Dr,Palo Alto,CA,94303,2995000,4.0,2.0,PALO ALTO,1698.0,6450.0,1957.0,16,1764.0,,Active,,,https://www.redfin.com/CA/Palo-Alto/3452-Thomas-Dr-94303/home/593186,MLSListings,ML81941876,N,Y,37.4331422,-122.1109485,Attached Garage,2.0,"Primary (Stall Shower(s)), Skylight, Solid Surface, Stone, Tile, Updated Bath(s), Other (See Remarks)","Dining Area, Dining Area in Family Room",In Garage,"Carpet, Concrete",,"Gas, Radiant",Public Utilities,1.0,8,8,9,2.5,1764.0,2990433.0,21177.0,84,Very bikeable,31,Car-dependent,25,Some transit,Extreme,Moderate,Moderate,Minimal,"Places1 grocery, 9 restaurants, 15 parksTransit21, 22, 40, ACE Orange, C - AM, C - PM, D - AM, D - PM, School 288, School 288L, School 288M, U","Sep 14, 2023",Listed (Active)MLSListings #ML81941876,2995000.0,"Nov 18, 2003",Listing RemovedMLSListings #ML80354211,NA,"Sep 24, 2003",ListedMLSListings #ML80354211,859000.0,https://www.redfin.com/CA/Palo-Alto/3452-Thomas-Dr-94303/home/593186,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4284 Los Palos Cir,Palo Alto,CA,94306,10875000,6.0,5.5,PALO ALTO,7030.0,10565.0,2023.0,16,1547.0,,Active,,,https://www.redfin.com/CA/Palo-Alto/4284-Los-Palos-Cir-94306/home/1684027,MLSListings,ML81941520,N,Y,37.4040429,-122.1243484,Attached Garage,1.0,"Primary - Oversized Tub, Primary (Stall Shower(s)), 2+ Stall Shower",Dining Area in Living Room,"Dryer, Inside, Washer",Hardwood,"Central Forced Air, Multi-Zone","Central Forced Air, Heating (2+ Zones)",Public Utilities,2.0,8,8,9,2.5,1547.0,10377500.0,76893.0,88,Very bikeable,49,Car-dependent,44,Some transit,Moderate,Minimal,Moderate,Minimal,"Places3 groceries, 28 restaurants, 4 parksTransit21, 22, 40, 89, Bus Bridge, BusBridge Caltrain (MPK-SCL)), C - AM, C - PM, C - PM Concert, D - AM, D - PM, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 14, 2023",Listed (Active)MLSListings #ML81941520,10875000.0,"Sep 20, 2017",Pending (Pending (Do Not Show))MLSListings #ML81676722,NA,"Sep 19, 2017",ContingentMLSListings #ML81676722,NA,https://www.redfin.com/CA/Palo-Alto/4284-Los-Palos-Cir-94306/home/1684027,,,,"Sep 15, 2017",Pending (Pending (Do Not Show))MLSListings #ML81676722,NA,"Sep 6, 2017",Listed (Active)MLSListings #ML81676722,2998000.0,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,3193 Stelling Dr,Palo Alto,CA,94303,2795000,3.0,2.0,PALO ALTO,1280.0,6306.0,1955.0,16,2184.0,,Active,September-30-2023 02:00 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Palo-Alto/3193-Stelling-Dr-94303/home/1499260,MLSListings,ML81941846,N,Y,37.4337125,-122.1181589,"Detached, Gate/Door Opener",2.0,"Full on Ground Floor, Primary (Stall Shower(s)), Skylight, 2+ Stall Shower","Dining Area, No Informal Dining Room","Inside, Washer/Dryer","Laminate, Tile",,Radiant,Public Utilities,1.0,8,8,9,2.5,2184.0,2803415.0,19762.0,92,Biker's paradise,47,Car-dependent,24,Minimal transit,Major,Moderate,Moderate,Minimal,"Places1 grocery, 11 restaurants, 14 parksTransit21, 22, ACE Orange, C - AM, C - PM, D - AM, D - PM, School 288, School 288L, School 288M, U","Sep 30, 2023",Price ChangedMLSListings #ML81941846,2795000.0,"Sep 14, 2023",Listed (Active)MLSListings #ML81941846,2900000.0,,,,https://www.redfin.com/CA/Palo-Alto/3193-Stelling-Dr-94303/home/1499260,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,245 Washington Ave,Palo Alto,CA,94301,13800000,8.0,8.5,PALO ALTO,5860.0,10000.0,2023.0,16,2355.0,,Active,,,https://www.redfin.com/CA/Palo-Alto/245-Washington-Ave-94301/home/591403,MLSListings,ML81941845,N,Y,37.4321773,-122.1412732,"Detached, Gate/Door Opener",1.0,,"Breakfast Bar, Breakfast Nook, Dining Area in Family Room, Dining Area in Living Room, Eat in Kitchen, Formal Dining Room","Electricity Hookup (220V), Inside","Hardwood, Tile","Central Forced Air, Multi-Zone","Central Forced Air (Gas), Fireplace","Individual Electric Meters, Individual Gas Meters, Natural Gas, Public Utilities",3.0,7,7,9,2.0,2355.0,13450656.0,97575.0,100,/100Biker's paradise,72,Very walkable,44,Some transit,Minimal,Minimal,Moderate,Minimal,"Places2 groceries, 30 restaurants, 3 parksTransit21, 22, 89, Bus Bridge, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), Rapid 522, School 288, School 288L, School 288M, U","Sep 14, 2023",Listed (Active)MLSListings #ML81941845,13800000.0,"Sep 20, 2018",Pending (Pending (Do Not Show))MLSListings #ML81719194,NA,"Sep 13, 2018",Price ChangedMLSListings #ML81719194,5450000.0,https://www.redfin.com/CA/Palo-Alto/245-Washington-Ave-94301/home/591403,,,,"Aug 15, 2018",Listed (Active)MLSListings #ML81719194,5998000.0,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,117 California Ave Unit D205,Palo Alto,CA,94306,1010000,2.0,1.5,PALO ALTO,1247.0,800.0,1982.0,17,810.0,809.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/117-California-Ave-94306/unit-D205/home/1629067,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039048,N,Y,37.4284712,-122.1426882,,1.0,,,,"Concrete, Tile, Carpet",,Forced Air,,,8,7,9,2.5,810.0,1008576.0,7950.0,100,/100Biker's paradise,95,Walker's paradise,47,Some transit,Moderate,NA,Moderate,Minimal,"Places4 groceries, 30 restaurants, 2 parksTransit21, 22, 89, Bus Bridge, Express 101, Express 102, Express 103, Express 104, L1, L2, L3, L6, Rapid 522, School 288, School 288L, School 288M","Sep 13, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039048",1010000.0,"Jul 22, 2010",Pending (Pending (Do Not Show))MLSListings #ML81010169,NA,"Jul 1, 2010",Pending (Pending Without Release)MLSListings #ML81010169,NA,https://www.redfin.com/CA/Palo-Alto/117-California-Ave-94306/unit-D205/home/1629067,,,,"Jun 4, 2010",Price ChangedMLSListings #ML81010169,569000.0,"May 6, 2010",Price ChangedMLSListings #ML81010169,585000.0,"Mar 4, 2010",Listed (Active)MLSListings #ML81010169,599000.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,610 Forest Ave,Palo Alto,CA,94301,1795000,2.0,2.5,PALO ALTO,1392.0,665.0,1977.0,17,1290.0,560.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Palo-Alto/610-Forest-Ave-94301/home/1652699,MLSListings,ML81941710,N,Y,37.4480009,-122.1552621,"Assigned Spaces, Attached Garage, Common Parking Area, Electric Car Hookup, Electric Gate, Gate/Door Opener",2.0,"Half on Ground Floor, Primary (Stall Shower(s)), Shower Over Tub, Updated Bath(s)",Dining Area,"Electricity Hookup (220V), Inside, Upper Floor","Carpet, Hardwood, Tile",,Radiant,Public Utilities,2.0,8,7,9,2.5,1290.0,1789069.0,13252.0,94,Biker's paradise,91,Walker's paradise,51,Good transit,Minimal,Minimal,Moderate,Minimal,"Places1 grocery, 28 restaurants, 2 parksTransit21, 22, 280, 281, 296, 397, 81, 82, 83, 84, 88, B7, Bus Bridge, ECR, L1, L2, L3, L4, L5, L6, M1 Shuttle, M1 Shuttle (City of Menlo Park), M4 Shuttle, M4 Shuttle (City of Menlo Park), Rapid 522","Sep 13, 2023",Listed (Active)MLSListings #ML81941710,1795000.0,,,,,,,https://www.redfin.com/CA/Palo-Alto/610-Forest-Ave-94301/home/1652699,"Common Area Electricity, Common Area Gas, Exterior Painting, Garbage, Insurance (Common Area), Maintenance (Common Area), Maintenance (Exterior), Roof",Monthly,Webster Forest HOA,,,,,,,,,,,,,,,,,,,,,,,,,,,
