SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,url,UTILITIES,PARK_DESCRIPTION,BATH_DESCRIPTION,DINNING_DESC,LAUNDARY_FEATURES,NUM_STORIES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE
MLS Listing,,Single Family Residential,4456 Gina St,Fremont,CA,94538,1088888,3.0,1.0,FREMONT,950.0,5300.0,1955.0,1.0,1146.0,,Active,October-7-2023 10:00 AM,October-7-2023 01:00 PM,https://www.redfin.com/CA/Fremont/4456-Gina-St-94538/home/1791136,MLSListings,ML81943535,N,Y,37.5319577,-121.9710263,,"Carpet, Tile, Vinyl/Linoleum",Wall Furnace,5,7,7,2.5,1146.0,1099503.0,7813.0,51,Bikeable,61,Somewhat walkable,37,Some transit,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 24 restaurants, 2 parksTransit210, 212, 215, 216, 239, 251, 623, 801, 99, U","Sep 29, 2023",Listed (Active)MLSListings #ML81943535,1088888.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/4456-Gina-St-94538/home/1791136,Public Utilities,On Street,Shower and Tub,Dining Area in Family Room,"In Garage, Washer/Dryer",1.0,,,,,,,,,
MLS Listing,,Townhouse,264 Fountain Grass Ter,Fremont,CA,94539,999000,2.0,2.0,WARM SPRINGS,1450.0,13002.0,2008.0,1.0,689.0,235.0,Active,September-30-2023 01:30 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/264-Fountain-Grass-Ter-94539/home/22962833,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040527,N,Y,37.4621725,-121.9146953,2.0,"Laminate, Carpet",Forced Air,NA,7,9,2.5,689.0,1008755.0,7403.0,71,Very bikeable,69,Somewhat walkable,39,Some transit,Minimal,Major,Moderate,Minimal,"Places2 groceries, 33 restaurants, 5 parksTransit215, 217, 239, 44, 47, 623, 66, ACE Purple, Express 104, School 246, School 247","Sep 29, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040527",999000.0,"Oct 15, 2019","Pending (Pending - Show for Backups)bridgeMLS, Bay East AOR, or Contra Costa AOR #40885136",NA,"Oct 8, 2019","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40885136",899000.0,,,,https://www.redfin.com/CA/Fremont/264-Fountain-Grass-Ter-94539/home/22962833,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,38623 Cherry Ln #224,Fremont,CA,94536,748000,3.0,2.0,FREMONT,1101.0,1101.0,1974.0,1.0,679.0,460.0,Active,October-7-2023 01:00 PM,October-7-2023 04:00 PM,https://www.redfin.com/CA/Fremont/38623-Cherry-Ln-94536/unit-224/home/187743827,MLSListings,ML81943504,N,Y,37.5655277,-121.9738453,,"Concrete, Tile",Forced Air,7,6,7,2.5,679.0,747304.0,5827.0,65,Bikeable,34,Car-dependent,51,Good transit,Minimal,Major,Moderate,Minimal,"Places3 groceries, 25 restaurants, 3 parksTransit200, 212, 215, 216, 217, 232, 239, 251, 625, 707, 710, 801, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S, U","Sep 28, 2023",Listed (Active)MLSListings #ML81943504,748000.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/38623-Cherry-Ln-94536/unit-224/home/187743827,Public Utilities,Carport,"Primary (Stall Shower(s)), Shower Over Tub",Eat in Kitchen,Inside,1.0,"Garbage, Insurance (Hazard), Maintenance (Common Area), Maintenance (Exterior), Management Fee, Water/Sewer",Monthly,Fremont Oaks,,,,,,
MLS Listing,,Mobile/Manufactured Home,711 Old Canyon Rd #50,Fremont,CA,94536,168000,2.0,2.0,NILES CANYON MHP,1344.0,,,1.0,125.0,,Active,,,https://www.redfin.com/CA/Fremont/711-Old-Canyon-Rd-94536/unit-50/home/187743799,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040513,N,Y,37.5771173,-121.9661518,,"Vinyl, Carpet","Forced Air, Natural Gas",7,6,7,3.0,125.0,166323.0,1188.0,56,Bikeable,20,Car-dependent,28,Some transit,Moderate,Severe,Moderate,Minimal,"Places3 groceries, 16 restaurants, 9 parksTransit200, 212, 215, 216, 217, 232, 239, 251, 625, 707, 710, 801, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S, U","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040513",168000.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/711-Old-Canyon-Rd-94536/unit-50/home/187743799,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,1910 Barrymore Cmn Unit G,Fremont,CA,94538,599000,2.0,1.0,FREMONT,882.0,225193.0,1981.0,1.0,679.0,565.0,Active,September-30-2023 02:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/1910-Barrymore-Cmn-94538/unit-G/home/1077297,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040490,N,Y,37.5543317,-121.9693731,,"Tile, Carpet",Baseboard,7,7,7,2.5,679.0,602121.0,4863.0,62,Bikeable,56,Somewhat walkable,57,Good transit,Minimal,Major,Moderate,Minimal,"Places3 groceries, 27 restaurants, 6 parksTransit200, 210, 212, 215, 216, 217, 232, 239, 251, 625, 707, 710, 801, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S, U","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040490",599000.0,"Sep 14, 2023",,NA,,,,,,,https://www.redfin.com/CA/Fremont/1910-Barrymore-Cmn-94538/unit-G/home/1077297,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,4559 Northdale Dr,Fremont,CA,94536,1650000,3.0,2.0,GLENMOOR,1781.0,9960.0,1955.0,1.0,926.0,30.0,Active,October-1-2023 11:00 AM,October-1-2023 01:00 PM,https://www.redfin.com/CA/Fremont/4559-Northdale-Dr-94536/home/1052724,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040487,N,Y,37.5449293,-122.0004221,2.0,Hardwood Flrs Throughout,Forced Air,7,6,7,2.5,926.0,1656988.0,11870.0,43,Somewhat bikeable,35,Car-dependent,36,Some transit,Minimal,Minimal,Moderate,Minimal,"Places4 groceries, 31 restaurants, 1 parkTransit200, 210, 212, 216, 232, 251, 620, 621, 625, 626, 628, 629, 801, 99, ACE, ACETrain, CC, SB, U","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040487",1650000.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/4559-Northdale-Dr-94536/home/1052724,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,5001 Shalimar Cir #1,Fremont,CA,94555,770000,2.0,2.0,FREMONT,892.0,,1987.0,1.0,863.0,335.0,Active,September-29-2023 05:00 PM,September-29-2023 07:00 PM,https://www.redfin.com/CA/Fremont/5001-Shalimar-Cir-94555/unit-1/home/905892,MLSListings,ML81943467,N,Y,37.562425,-122.0493316,1.0,Laminate,Forced Air,8,7,9,2.5,863.0,772355.0,5779.0,50,Bikeable,43,Car-dependent,26,Some transit,Minimal,Moderate,Moderate,Minimal,"Places2 groceries, 34 restaurants, 5 parksTransit200, 210, 232, 620, 621, 626, 628, 629, 801, 99, SB, U","Sep 28, 2023",Listed (Active)MLSListings #ML81943467,770000.0,"Jul 9, 2016","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40746406",NA,"Jun 23, 2016","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40746406",559000.0,,,,https://www.redfin.com/CA/Fremont/5001-Shalimar-Cir-94555/unit-1/home/905892,Public Utilities,Detached,,No Formal Dining Room,Inside,2.0,"Insurance (Hazard), Maintenance (Common Area), Maintenance (Exterior)",Monthly,Associa Northern California,,,,,,
MLS Listing,,Condo/Co-op,34109 Susa Ter,Fremont,CA,94555,1550000,4.0,3.5,FREMONT,1969.0,,2013.0,1.0,787.0,284.0,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/34109-Susa-Ter-94555/home/17185559,MLSListings,ML81943394,N,Y,37.5601138,-122.0625064,2.0,"Carpet, Tile",Central Forced Air,8,7,9,2.5,787.0,1539924.0,11243.0,54,Bikeable,28,Car-dependent,30,Some transit,Minimal,Moderate,Moderate,Minimal,"Places3 groceries, 27 restaurants, 6 parksTransit200, 210, 232, 620, 621, 626, 628, 629, SB, U","Sep 28, 2023",Listed (Active)MLSListings #ML81943394,1550000.0,"Mar 16, 2017","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40772749",NA,"Mar 9, 2017","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40772749",988888.0,,,,https://www.redfin.com/CA/Fremont/34109-Susa-Ter-94555/home/17185559,"Individual Electric Meters, Individual Gas Meters, Public Utilities",Attached Garage,"Double Sinks, Full on Ground Floor, Granite, Primary (Sunken Tub), Shower and Tub, Stall Shower, 2+ Tubs",Dining Area,,3.0,"Common Area Gas, Maintenance (Road), Management Fee, Roof",Monthly,Villa D'Este,,,,,,
MLS Listing,,Townhouse,37373 Viceroy Cmn,Fremont,CA,94536,1639000,4.0,3.5,Not Listed,2191.0,2342.0,2023.0,1.0,748.0,285.0,Active,September-30-2023 10:30 AM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Fremont/37373-Viceroy-CMN-94536/home/187725215,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040425,N,Y,37.544587,-122.017409,2.0,"Laminate, Tile, Carpet",Zoned,7,7,7,2.0,748.0,1637330.0,12046.0,46,Somewhat bikeable,34,Car-dependent,31,Some transit,Minimal,NA,Moderate,Minimal,"Places4 groceries, 26 restaurants, 2 parksTransit200, 210, 212, 216, 232, 251, 620, 621, 625, 626, 628, 629, 801, 99, ACE, ACETrain, CC, SB, U","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040425",1639000.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/37373-Viceroy-CMN-94536/home/187725215,Other Water/Sewer,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,35181 Mount Whitney Ter,Fremont,CA,94536,1799000,4.0,3.0,NILES AREA,2196.0,4275.0,2000.0,1.0,819.0,140.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/35181-Mount-Whitney-Ter-94536/home/1208617,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040416,N,Y,37.5880648,-122.0032673,2.0,"Tile, Carpet, Engineered Wood",Forced Air,7,6,7,2.25,819.0,1814977.0,13049.0,43,Somewhat bikeable,45,Car-dependent,,,Moderate,Severe,Moderate,Minimal,"Places4 groceries, 31 restaurants, 16 parksTransit200, 216, 232, 251, 625, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 28, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040416",1799000.0,"Jun 23, 2007","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40250633",NA,"Mar 19, 2007","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40250633",885000.0,,,,https://www.redfin.com/CA/Fremont/35181-Mount-Whitney-Ter-94536/home/1208617,,,,,,,,,,,,,,,
MLS Listing,,Mobile/Manufactured Home,4141 Deep Creek Rd #181,Fremont,CA,94555,198800,2.0,2.0,BESARO MHP,1152.0,,,2.0,173.0,,Active,,,https://www.redfin.com/CA/Fremont/4141-Deep-Creek-Rd-94555/unit-181/home/21855542,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040411,N,Y,37.5788818,-122.0530485,,"Vinyl, Carpet","Forced Air, Natural Gas",8,7,9,3.0,173.0,197219.0,1427.0,60,Bikeable,46,Car-dependent,32,Some transit,Minimal,Minor,Moderate,Minimal,"Places6 groceries, 20 restaurants, 9 parksTransit200, 210, 232, 621, 97, SB","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040411",198800.0,"Dec 28, 2014","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40677492",NA,"Oct 15, 2014","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40677492",89950.0,,,,https://www.redfin.com/CA/Fremont/4141-Deep-Creek-Rd-94555/unit-181/home/21855542,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,969 Avila Terraza,Fremont,CA,94538,910000,2.0,2.0,ANDALUSIA,1102.0,259532.0,2001.0,2.0,826.0,480.0,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Fremont/969-Avila-Terraza-94538/home/187684541,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040313,N,Y,37.559889,-121.967178,1.0,"Hardwood, Tile",Central,7,6,7,2.0,826.0,912081.0,7010.0,60,Bikeable,30,Car-dependent,53,Good transit,Minimal,Major,Moderate,Minimal,"Places1 grocery, 22 restaurants, 7 parksTransit200, 210, 212, 215, 216, 217, 232, 239, 251, 625, 707, 710, 801, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S, U","Sep 27, 2023","Listed (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040313",910000.0,,,,,,,,,,https://www.redfin.com/CA/Fremont/969-Avila-Terraza-94538/home/187684541,,,,,,,,,,,,,,,
