SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Transit Score,Transit Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,NUM_STORIES,PARK_DESCRIPTION,DINNING_DESC,UTILITIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,BATH_DESCRIPTION,LAUNDARY_FEATURES,FEES_INCLUDE,HOA_FEE_FREQ,HOA_NAME,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE,PRICE_HISTORY10_EVENT_DATE,PRICE_HISTORY10_EVENT_TYPE,PRICE_HISTORY10_PRICE
MLS Listing,,Condo/Co-op,6378 Joaquin Murieta Ave Unit 368A,Newark,CA,94560,570000,2.0,1.0,NEWARK,905,,1982.0,11.0,630,540.0,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/6378-Joaquin-Murieta-Ave-94560/unit-368A/home/1888376,MLSListings,ML81942642,N,Y,37.5168468,-121.9991324,,"Carpet, Tile, Vinyl/Linoleum",Central Forced Air (Gas),,NA,4,5,2.5,630.0,568151.0,4570.0,48,Somewhat bikeable,56,Somewhat walkable,,,Minimal,Moderate,Major,Minimal,"Places3 groceries, 33 restaurants, 0 parksTransit200, 210, 212, 216, 232, 239, 251, 620, 623, 626, 628, 629, 801, 99, SB","Sep 20, 2023",Listed (Active)MLSListings #ML81942642,570000.0,https://www.redfin.com/CA/Newark/6378-Joaquin-Murieta-Ave-94560/unit-368A/home/1888376,2.0,"Assigned Spaces, Carport",Dining Area,Public Utilities,"Jun 2, 2009","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",NA,"May 29, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",179000.0,,,"Garbage, Insurance (Hazard), Maintenance (Common Area), Maintenance (Exterior), Management Fee, Reserves, Water/Sewer, Other (See Remarks)",Monthly,Newark Village HOA,"May 5, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",185000.0,"Apr 17, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",189000.0,"Jan 26, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",199000.0,"Jan 5, 2009","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",213000.0,"Dec 29, 2008","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",224000.0,"Dec 15, 2008","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",236000.0,"Dec 8, 2008","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40384340",249000.0
MLS Listing,,Townhouse,37988 Luma Ter,Newark,CA,94560,1170000,3.0,3.0,NEWARK,1540,13501.0,2015.0,11.0,760,313.0,Active,October-1-2023 02:00 PM,October-1-2023 04:30 PM,https://www.redfin.com/CA/Newark/37988-Luma-Ter-94560/home/108578031,MLSListings,ML81942590,N,Y,37.5360774,-122.015252,2.0,Laminate,Central Forced Air,"Central Forced Air, Multi-Zone",NA,4,5,2.5,760.0,1201293.0,8586.0,47,Somewhat bikeable,57,Somewhat walkable,,,Minimal,Minimal,Moderate,Minimal,"Places3 groceries, 23 restaurants, 3 parksTransit200, 210, 212, 216, 232, 251, 620, 621, 625, 626, 628, 629, 801, 99, SB","Sep 20, 2023",Listed (Active)MLSListings #ML81942590,1170000.0,https://www.redfin.com/CA/Newark/37988-Luma-Ter-94560/home/108578031,3.0,Attached Garage,Dining Area in Living Room,"Individual Electric Meters, Public Utilities",,,,,,,,,"Landscaping/Gardening, Maintenance (Common Area)",,Canopy at Timber,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Multi-Family (5+ Unit),36976 Mulberry St,Newark,CA,94560,3878000,,,Newark,7344,14615.0,1964.0,13.0,528,,Active,,,https://www.redfin.com/CA/Newark/36976-Mulberry-St-94560/home/1448608,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039512,N,Y,37.5323123,-122.0350442,,Engineered Wood,Wall Furnace,,5,4,5,2.5,528.0,,27420.0,52,Bikeable,74,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places9 groceries, 22 restaurants, 5 parksTransit200, 232, 251, 620, 626, 628, 629, SB","Sep 18, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039512",3878000.0,https://www.redfin.com/CA/Newark/36976-Mulberry-St-94560/home/1448608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,38915 Sea Grass Pl,Newark,CA,94560,1220000,3.0,3.5,NEWARK,1652,1293.0,2018.0,18.0,738,251.0,Active,October-1-2023 02:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/38915-Sea-Grass-Pl-94560/home/112885664,MLSListings,ML81941708,N,Y,37.5290613,-122.0062091,2.0,,Forced Air,Central Forced Air,NA,4,5,2.5,738.0,1217745.0,8877.0,52,Bikeable,57,Somewhat walkable,,,Minimal,Moderate,Moderate,Minimal,"Places4 groceries, 45 restaurants, 2 parksTransit200, 210, 212, 216, 232, 251, 620, 625, 626, 628, 629, 801, 99, SB, U","Sep 28, 2023",Price ChangedMLSListings #ML81941708,1220000.0,https://www.redfin.com/CA/Newark/38915-Sea-Grass-Pl-94560/home/112885664,3.0,Attached Garage,Dining Area,Public Utilities,"Sep 13, 2023",Listed (Active)MLSListings #ML81941708,1180000.0,,,,,,"Exterior Painting, Garbage, Insurance (Common Area), Landscaping/Gardening, Maintenance (Common Area)",,Prima Homeowners Association,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,37729 Bay Breeze,Newark,CA,94560,1700000,4.0,4.5,NEWARK,2817,2530.0,2020.0,19.0,603,235.0,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/37729-Bay-Breeze-St-94560/home/168830051,MLSListings,ML81940322,N,Y,37.5174891,-122.0535369,2.0,,Central Forced Air,Central Forced Air,3,4,5,2.5,603.0,1651225.0,12255.0,27,Somewhat bikeable,9,Car-dependent,,,Major,Moderate,Major,Minimal,"Places9 groceries, 17 restaurants, 9 parksTransit200, 216, 232, 251, 620, 621, 626, 628, 629, SB, U","Sep 26, 2023",Price ChangedMLSListings #ML81940322,1700000.0,https://www.redfin.com/CA/Newark/37729-Bay-Breeze-St-94560/home/168830051,3.0,Attached Garage,Dining Area,Solar Panels - Lien,"Sep 26, 2023",Relisted (Active)MLSListings #ML81940322,NA,"Sep 13, 2023",Listing RemovedMLSListings #ML81940322,NA,,Washer/Dryer,"Maintenance (Common Area), Pools, Spa, or Tennis",Monthly,First Service Residential,"Aug 30, 2023",Listed (Active)MLSListings #ML81940322,1649000.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,36718 Hafner St,Newark,CA,94560,869500,3.0,1.0,Newark,923,5001.0,1954.0,30.0,942,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/36718-Hafner-St-94560/home/793936,BAREIS,323907155,N,Y,37.5403991,-122.0318271,1.0,Laminate,"Gas, Wall Furnace",Ceiling Fan(s),6,4,5,,942.0,987621.0,6148.0,51,Bikeable,81,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 23 restaurants, 6 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB","Sep 1, 2023",Listed (Active)BAREIS #323907155,869500.0,https://www.redfin.com/CA/Newark/36718-Hafner-St-94560/home/793936,1.0,,,"Cable Connected, Natural Gas Connected",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,36720 Charles St,Newark,CA,94560,1038888,3.0,2.0,NEWARK,1190,5700.0,1954.0,38.0,873,,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/36720-Charles-St-94560/home/861865,MLSListings,ML81934651,N,Y,37.5479617,-122.0245682,2.0,"Laminate, Vinyl/Linoleum",Gas,Ceiling Fan,6,4,5,2.25,873.0,1176778.0,7346.0,45,Somewhat bikeable,40,Car-dependent,,,Minimal,Minimal,Moderate,Minimal,"Places5 groceries, 26 restaurants, 3 parksTransit200, 210, 232, 251, 620, 621, 625, 626, 628, 629, 801, 99, ACE, ACETrain, CC, SB, U","Aug 24, 2023",Listed (Active)MLSListings #ML81934651,1038888.0,https://www.redfin.com/CA/Newark/36720-Charles-St-94560/home/861865,,Detached,Eat in Kitchen,Public Utilities,"Jun 7, 2022",Pending (Pending (Do Not Show))MLSListings #ML81887342,NA,"May 12, 2022",Listed (Active)MLSListings #ML81887342,1018000.0,"Granite, Primary (Stall Shower(s)), Other (See Remarks)",Washer,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,36613 Burdick St,Newark,CA,94560,1499000,5.0,3.5,NEWARK,1960,6825.0,1957.0,39.0,765,,Active,,,https://www.redfin.com/CA/Newark/36613-Burdick-St-94560/home/1301984,MLSListings,ML81939515,N,Y,37.5420526,-122.0312989,2.0,"Laminate, Tile, Vinyl/Linoleum, Wood","Central Forced Air, Solar",Central Forced Air,6,4,5,2.5,765.0,1403239.0,10599.0,50,Bikeable,79,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places7 groceries, 21 restaurants, 7 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB","Sep 13, 2023",Price ChangedMLSListings #ML81939515,1499000.0,https://www.redfin.com/CA/Newark/36613-Burdick-St-94560/home/1301984,1.0,Attached Garage,Dining Area in Family Room,Public Utilities,"Aug 23, 2023",Listed (Active)MLSListings #ML81939515,1550000.0,"Mar 11, 2017","Pending (Pending - Show for Backups)bridgeMLS, Bay East AOR, or Contra Costa AOR #40768893",NA,"Granite, 2+ Stall Shower, Updated Bath(s)",Washer/Dryer,,,,"Jan 31, 2017","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40768893",849888.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,7776 Hazelnut Dr,Newark,CA,94560,1590000,5.0,3.0,,2417,6693.0,1964.0,44.0,658,,Active,October-1-2023 01:00 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Newark/7776-Hazelnut-Dr-94560/home/851403,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41036025,N,Y,37.5323415,-122.0480875,2.0,"Tile, Carpet, Engineered Wood","Forced Air, Central","Ceiling Fan(s), Central Air",6,4,5,2.5,658.0,,11242.0,44,Somewhat bikeable,33,Car-dependent,,,Minimal,Moderate,Moderate,Minimal,"Places6 groceries, 26 restaurants, 6 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB, U","Aug 31, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41036025",1590000.0,https://www.redfin.com/CA/Newark/7776-Hazelnut-Dr-94560/home/851403,,,,,"Aug 18, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41036025",1650000.0,"May 7, 2004","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40010063",NA,,,,,,"Apr 22, 2004","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40010063",650000.0,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,5929 Mayhews Landing Rd,Newark,CA,94560,1282000,4.0,2.0,MAYHEW LANDING,1316,5000.0,1954.0,61.0,974,,Active,,,https://www.redfin.com/CA/Newark/5929-Mayhews-Landing-Rd-94560/home/1722411,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41034764,N,Y,37.5397613,-122.0316472,,"Linoleum, Tile, Carpet",Forced Air,"Ceiling Fan(s), Central Air",6,4,5,2.5,974.0,1097647.0,9065.0,50,Bikeable,81,Very walkable,,,Minimal,Minimal,Moderate,Minimal,"Places8 groceries, 23 restaurants, 5 parksTransit200, 232, 251, 620, 621, 626, 628, 629, SB","Aug 31, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41034764",1282000.0,https://www.redfin.com/CA/Newark/5929-Mayhews-Landing-Rd-94560/home/1722411,,,,,"Aug 1, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41034764",1284000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,6851 Baine,Newark,CA,94560,1898000,5.0,3.5,CENTRAL NEWARK,2574,4389.0,2023.0,86.0,737,150.0,Active,October-1-2023 12:00 PM,October-1-2023 05:00 PM,https://www.redfin.com/CA/Newark/6851-Baine-Ave-94560/home/186035941,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41032401,N,Y,37.5289826,-122.0320184,2.0,Engineered Wood,Forced Air,Central Air,NA,4,5,2.5,737.0,1826852.0,13570.0,50,Bikeable,65,Somewhat walkable,,,Moderate,Moderate,Moderate,Minimal,"Places9 groceries, 21 restaurants, 5 parksTransit200, 216, 232, 251, 620, 626, 628, 629, SB","Jul 7, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41032401",1898000.0,https://www.redfin.com/CA/Newark/6851-Baine-Ave-94560/home/186035941,,,,All Public Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
