SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL,SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE,HAS_GARAGE,FLOORING_FEATURES,HEATING_FEATURES,COOLING_FEATURES,ELEMENTARY_SCHOOL_RATING,MIDDLE_SCHOOL_RATING,HIGH_SCHOOL_RATING,BUYER_AGENCY_COMPENSATION,PRICE_PR_SQFT,REDFIN_ESTIMATE,EST_MONTHLY_PAY,Bike Score,Bike Score_type,Walk Score,Walk Score_type,Flood Factor,Fire Factor,Heat Factor,Wind Factor,OVERALL_NEARBY_PLACES,PRICE_HISTORY1_EVENT_DATE,PRICE_HISTORY1_EVENT_TYPE,PRICE_HISTORY1_PRICE,url,UTILITIES,PRICE_HISTORY2_EVENT_DATE,PRICE_HISTORY2_EVENT_TYPE,PRICE_HISTORY2_PRICE,PRICE_HISTORY3_EVENT_DATE,PRICE_HISTORY3_EVENT_TYPE,PRICE_HISTORY3_PRICE,PARK_DESCRIPTION,LAUNDARY_FEATURES,NUM_STORIES,BATH_DESCRIPTION,DINNING_DESC,PRICE_HISTORY4_EVENT_DATE,PRICE_HISTORY4_EVENT_TYPE,PRICE_HISTORY4_PRICE,PRICE_HISTORY5_EVENT_DATE,PRICE_HISTORY5_EVENT_TYPE,PRICE_HISTORY5_PRICE,PRICE_HISTORY6_EVENT_DATE,PRICE_HISTORY6_EVENT_TYPE,PRICE_HISTORY6_PRICE,PRICE_HISTORY7_EVENT_DATE,PRICE_HISTORY7_EVENT_TYPE,PRICE_HISTORY7_PRICE,PRICE_HISTORY8_EVENT_DATE,PRICE_HISTORY8_EVENT_TYPE,PRICE_HISTORY8_PRICE,Transit Score,Transit Score_type,PRICE_HISTORY9_EVENT_DATE,PRICE_HISTORY9_EVENT_TYPE,PRICE_HISTORY9_PRICE
MLS Listing,,Single Family Residential,2717 Meadowlark Dr,Union City,CA,94587,1098888,3.0,2.0,UNION CITY,1392.0,7086.0,1975.0,5,789.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/2717-Meadowlark-Dr-94587/home/22962686,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41040106,N,Y,37.5891782,-122.041412,2.0,"Hardwood, Carpet",Forced Air,,7,5,6,2.5,789.0,1239228.0,7770.0,51,Bikeable,41,Car-dependent,Major,Minimal,Moderate,Minimal,"Places8 groceries, 26 restaurants, 4 parksTransit200, 210, 216, 232, 621, 801, 97, 99","Sep 25, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41040106",1098888.0,https://www.redfin.com/CA/Union-City/2717-Meadowlark-Dr-94587/home/22962686,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,4120 Aquarius Cir,Union City,CA,94587,748888,3.0,1.5,UNION CITY,1255.0,1449.0,1970.0,9,597.0,333.0,Active,,,https://www.redfin.com/CA/Union-City/4120-Aquarius-Cir-94587/home/1350989,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039894,N,Y,37.5886603,-122.0683119,2.0,"Laminate, Linoleum, Carpet",Forced Air,,7,6,6,2.5,597.0,771045.0,5628.0,59,Bikeable,78,Very walkable,Major,Minimal,Moderate,Minimal,"Places7 groceries, 31 restaurants, 5 parksTransit210, 41, 56, 97, SB","Sep 21, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039894",748888.0,https://www.redfin.com/CA/Union-City/4120-Aquarius-Cir-94587/home/1350989,,"Nov 9, 2012","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40594823",NA,"Nov 1, 2012","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40594823",279000.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,2490 Baltusrol Ct,Union City,CA,94587,1298500,4.0,2.0,UNION CITY,1463.0,7623.0,1969.0,9,888.0,,Active,,,https://www.redfin.com/CA/Union-City/2490-Baltusrol-Ct-94587/home/1026505,MLSListings,ML81942721,N,Y,37.6023983,-122.0595303,2.0,,Central Forced Air,Central Forced Air,7,6,6,2.5,888.0,1300895.0,9181.0,44,Somewhat bikeable,49,Car-dependent,Severe,Minimal,Moderate,Minimal,"Places4 groceries, 35 restaurants, 2 parksTransit210, 41, 56, 97","Sep 21, 2023",Listed (Active)MLSListings #ML81942721,1298500.0,https://www.redfin.com/CA/Union-City/2490-Baltusrol-Ct-94587/home/1026505,Public Utilities,"Sep 16, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039433",1298500.0,,,,Attached Garage,"In Garage, Washer/Dryer",1.0,Updated Bath(s),"Dining ""L""",,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,33103 9th St,Union City,CA,94587,1120000,2.0,1.5,UNION CITY,1664.0,21190.0,1951.0,10,673.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Union-City/33103-9th-St-94587/home/1991519,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039660,N,Y,37.6043339,-122.0281067,2.0,"Hardwood, Tile, Vinyl",Forced Air,No Air Conditioning,4,5,6,2.5,673.0,1118008.0,7919.0,44,Somewhat bikeable,43,Car-dependent,Minimal,Major,Moderate,Minimal,"Places5 groceries, 24 restaurants, 5 parksTransit200, 216, 232, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 20, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039660",1120000.0,https://www.redfin.com/CA/Union-City/33103-9th-St-94587/home/1991519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Condo/Co-op,34764 Skylark Dr #2,Union City,CA,94587,549000,2.0,1.0,DOWNTOWN ESTATES,903.0,9007.0,1972.0,10,608.0,385.0,Active,,,https://www.redfin.com/CA/Union-City/34764-Skylark-Dr-94587/unit-2/home/124448651,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039265,N,Y,37.5850275,-122.0177219,,"Laminate, Carpet",Forced Air,,4,5,6,2.5,608.0,550214.0,4267.0,64,Bikeable,85,Very walkable,Major,Major,Moderate,Minimal,"Places5 groceries, 41 restaurants, 1 parkTransit200, 210, 216, 232, 621, 625, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 20, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039265",549000.0,https://www.redfin.com/CA/Union-City/34764-Skylark-Dr-94587/unit-2/home/124448651,,"Jul 19, 2006","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40177574",NA,"Jun 14, 2006","ListedbridgeMLS, Bay East AOR, or Contra Costa AOR #40177574",349999.0,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,33034 Palmetto Dr,Union City,CA,94587,899000,3.0,2.0,TAMARACK KNOLLS,1157.0,5775.0,1958.0,11,777.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/33034-Palmetto-Dr-94587/home/1554936,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039572,N,Y,37.6112244,-122.0195013,2.0,"Linoleum, Tile, Carpet",Forced Air,Ceiling Fan(s),4,5,6,2.5,777.0,915754.0,6356.0,19,Somewhat bikeable,31,Car-dependent,Minimal,Major,Moderate,Minimal,"Places4 groceries, 24 restaurants, 9 parksTransit200, 216, 232, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 19, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039572",899000.0,https://www.redfin.com/CA/Union-City/33034-Palmetto-Dr-94587/home/1554936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
MLS Listing,,Townhouse,4250 Comet Cir,Union City,CA,94587,749000,3.0,1.0,,1125.0,1656.0,1972.0,12,666.0,333.0,Active,September-30-2023 01:00 PM,September-30-2023 05:00 PM,https://www.redfin.com/CA/Union-City/4250-Comet-Cir-94587/home/1040754,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039529,N,Y,37.5856636,-122.0663667,2.0,"Tile, Carpet",Central,Central Air,7,6,6,2.0,666.0,761871.0,5629.0,57,Bikeable,71,Very walkable,Major,Minimal,Moderate,Minimal,"Places6 groceries, 30 restaurants, 7 parksTransit210, 41, 56, 97, SB","Sep 18, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039529",749000.0,https://www.redfin.com/CA/Union-City/4250-Comet-Cir-94587/home/1040754,,"Aug 4, 2021","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40956996",NA,"Jul 26, 2021","Relisted (Active)bridgeMLS, Bay East AOR, or Contra Costa AOR #40956996",NA,,,,,,"Jul 12, 2021","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40956996",NA,"Jul 2, 2021","Listed (Back On Market)bridgeMLS, Bay East AOR, or Contra Costa AOR #40956996",675000.0,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,33104 9th St,Union City,CA,94587,1059000,4.0,3.0,UNION CITY,1556.0,5000.0,2014.0,15,681.0,,Active,October-1-2023 01:30 PM,October-1-2023 04:00 PM,https://www.redfin.com/CA/Union-City/33104-9th-St-94587/home/1597485,MLSListings,ML81942176,N,Y,37.6046107,-122.0277395,2.0,Laminate,Forced Air,Central Forced Air,4,5,6,2.5,681.0,1054933.0,7488.0,44,Somewhat bikeable,43,Car-dependent,Minimal,Major,Moderate,Minimal,"Places5 groceries, 24 restaurants, 5 parksTransit200, 216, 232, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 15, 2023",Listed (Active)MLSListings #ML81942176,1059000.0,https://www.redfin.com/CA/Union-City/33104-9th-St-94587/home/1597485,"Individual Electric Meters, Individual Gas Meters, Public Utilities","Jan 13, 2014","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40638855",NA,"Nov 26, 2013","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40638855",NA,Detached,In Garage,1.0,"Granite, Primary (Stall Shower(s)), 2+ Showers Over Tubs, Stall Shower, Tub",Breakfast Nook,"Nov 17, 2013","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40638855",265000.0,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,33156 7th St,Union City,CA,94587,1299888,4.0,3.0,MISSION,2428.0,5000.0,1961.0,15,535.0,,Active,September-30-2023 01:30 PM,September-30-2023 04:30 PM,https://www.redfin.com/CA/Union-City/33156-7th-St-94587/home/1897804,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41039234,N,Y,37.6049918,-122.0257292,,"Tile, Vinyl, Carpet",Forced Air,Central Air,4,5,6,2.5,535.0,1369805.0,9191.0,47,Somewhat bikeable,51,Somewhat walkable,Minimal,Major,Moderate,Minimal,"Places5 groceries, 25 restaurants, 6 parksTransit200, 216, 232, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 28, 2023","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #41039234",1299888.0,https://www.redfin.com/CA/Union-City/33156-7th-St-94587/home/1897804,,"Sep 15, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41039234",1499999.0,"May 21, 2019","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40857266",NA,,,,,,"May 2, 2019","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40857266",840000.0,"May 2, 2019","Relisted (Price Change)bridgeMLS, Bay East AOR, or Contra Costa AOR #40857266",NA,"Apr 30, 2019","DelistedbridgeMLS, Bay East AOR, or Contra Costa AOR #40857266",NA,"Apr 25, 2019","Price ChangedbridgeMLS, Bay East AOR, or Contra Costa AOR #40857266",800000.0,"Mar 18, 2019","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40857266",865000.0,,,,,
MLS Listing,,Single Family Residential,1729 Sherman Dr,Union City,CA,94587,1300000,4.0,3.0,UNION CITY,1905.0,6098.0,1986.0,16,682.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/1729-Sherman-Dr-94587/home/604624,MLSListings,ML81941919,N,Y,37.5960904,-122.0299272,2.0,"Hardwood, Laminate, Tile","Baseboard, Central Forced Air, Central Forced Air (Gas), Gas",Ceiling Fan,3,5,6,2.5,682.0,1327435.0,9192.0,67,Bikeable,48,Car-dependent,Minimal,Major,Moderate,Minimal,"Places4 groceries, 31 restaurants, 4 parksTransit200, 216, 232, 621, 801, 97, 99, BridgeA, BridgeB, Green-N, Green-S, Orange-N, Orange-S","Sep 14, 2023",Listed (Active)MLSListings #ML81941919,1300000.0,https://www.redfin.com/CA/Union-City/1729-Sherman-Dr-94587/home/604624,"Individual Gas Meters, Public Utilities","Apr 29, 2021","PendingbridgeMLS, Bay East AOR, or Contra Costa AOR #40945619",NA,"Apr 15, 2021","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #40945619",975000.0,"Attached Garage, Off-Street Parking, Other",Washer/Dryer,2.0,"Dual Flush Toilet, Shower Over Tub, Tile, Updated Bath(s)","Breakfast Bar, Dining Area, Formal Dining Room",,,,,,,,,,,,,,,,,,,,
MLS Listing,,Single Family Residential,32212 Cabello St,Union City,CA,94587,1375000,3.0,2.0,TAMARA,1521.0,5221.0,1979.0,17,904.0,,Active,September-30-2023 01:00 PM,September-30-2023 04:00 PM,https://www.redfin.com/CA/Union-City/32212-Cabello-St-94587/home/1616068,"bridgeMLS, Bay East AOR, or Contra Costa AOR",41038951,N,Y,37.5874876,-122.0741793,2.0,Vinyl,Forced Air,Central Air,6,6,6,2.5,904.0,1400824.0,9722.0,56,Bikeable,67,Somewhat walkable,Major,Minimal,Moderate,Minimal,"Places4 groceries, 32 restaurants, 3 parksTransit210, 41, 56, 97, SB","Sep 13, 2023","Listed (New)bridgeMLS, Bay East AOR, or Contra Costa AOR #41038951",1375000.0,https://www.redfin.com/CA/Union-City/32212-Cabello-St-94587/home/1616068,All Public Utilities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
